strain,normal_stress_GPa,,,,Lx_angstrom,Ly_angstrom,Lz_angstrom,,,
0.1175,0.357079099,-0.028811792,-0.020701981,0.540088967,93.45696053,76.08655778,75.20331711,-173486.2099,7003.90431,1679.881003
0.12,0.424041566,0.074487614,0.131419854,0.45940909,93.6660365,76.00536047,75.15481767,-173495.8266,7054.416083,1691.996213
0.1225,0.378767227,0.037673789,0.052921502,0.471966802,93.87511248,75.92596743,75.0651468,-173455.398,7054.073325,1691.914003
0.125,0.342260981,0.079173141,0.01263462,0.426961501,94.08418845,75.85386569,74.98272814,-173413.343,7051.580605,1691.316126
0.1275,0.271583486,0.02787041,0.029285315,0.343666218,94.29326442,75.76095727,74.91850354,-173376.5847,7054.221428,1691.949525
0.13,0.337132387,0.002150405,0.073431747,0.432240657,94.5023404,75.67282368,74.85847807,-173380.355,7097.116446,1702.237862
0.1325,0.453987539,0.024516573,0.090117598,0.566701102,94.71141637,75.6168838,74.78423681,-173318.9858,7075.591937,1697.075225
0.135,0.286204253,0.040921875,0.080081405,0.322774755,94.92049235,75.5601307,74.67660036,-173293.6744,7089.205912,1700.340526
0.1375,0.238035252,-0.003624929,-0.028127483,0.360336814,95.12956832,75.49181593,74.55413688,-173273.1547,7106.339051,1704.449896
0.14,0.250097831,0.026749817,0.03065792,0.313134928,95.3386443,75.44859226,74.46964258,-173208.2023,7079.137985,1697.925742
0.1425,0.327428511,0.086836319,-0.01724117,0.433028771,95.54772027,75.39336622,74.39426256,-173182.0341,7091.006559,1700.77241
0.145,0.303651704,0.028153368,0.116448402,0.344587323,95.75679624,75.29132214,74.33053715,-173215.9611,7162.775868,1717.986223
0.1475,0.203413473,-0.016664374,0.001823277,0.29902284,95.96587222,75.20300289,74.24085504,-173163.5789,7146.94176,1714.188425
0.15,0.242845442,0.028929539,0.097635831,0.267518969,96.17494819,75.15608634,74.16091521,-173148.9573,7168.720127,1719.411949
0.1525,0.267140306,0.006445411,-0.010371386,0.381126451,96.38402417,75.11391614,74.04809304,-173115.7549,7171.653643,1720.115551
0.155,0.280479218,0.072944054,0.083766924,0.28615329,96.59310014,75.06231322,73.94100227,-173158.9861,7250.338987,1738.988169
0.1575,0.200422231,-0.008993323,0.054064648,0.263157222,96.80217612,74.99858011,73.83719789,-173103.7272,7229.671433,1734.031072
0.16,0.191342663,0.041286465,0.046227574,0.208805331,97.01125209,74.96558547,73.74655618,-173052.5713,7212.390237,1729.886191
0.1625,0.180093261,0.103445549,-0.007337324,0.230820149,97.22032807,74.91507308,73.65032601,-173031.6662,7225.22891,1732.965537
0.165,0.305424481,0.012934392,0.018222938,0.409955055,97.42940404,74.82899261,73.57518628,-173036.3619,7264.194519,1742.311408
0.1675,0.23348819,0.05859071,0.025518832,0.273740994,97.63848001,74.75115665,73.50865505,-173018.2333,7279.693298,1746.028778
