strain,normal_stress_GPa,,,,Lx_angstrom,Ly_angstrom,Lz_angstrom,,,
0.01025,0.344780598,-0.061886849,-0.066310247,0.578267812,82.30579084,81.16534843,81.9464342,-79333.26925,3022.069652,745.5514614
0.0105,0.448113254,0.01222439,0.045904487,0.594058367,82.32615852,81.21313105,82.0035305,-79317.52749,3007.931715,742.0635999
0.01075,0.462995924,0.048215898,0.004621435,0.619717774,82.3465262,81.19019796,81.97834672,-79339.24253,3031.292941,747.8268676
0.011,0.410026799,-0.074135434,-0.029427469,0.65538685,82.36689388,81.11516844,81.95638163,-79341.74775,3035.783517,748.9347031
0.01125,0.476496164,0.035122464,0.06677006,0.603065331,82.38726156,81.1595384,82.01893504,-79321.15692,3016.927756,744.2829437
0.0115,0.501241777,0.016019069,0.01666488,0.685752333,82.40762924,81.15755512,81.99284634,-79321.0409,3018.665628,744.7116809
0.01175,0.434133355,-0.019549526,-0.037230464,0.654465142,82.42799692,81.13406034,81.94435283,-79322.85401,3022.281009,745.6036037
0.012,0.483399936,-0.008248863,-0.011478402,0.697591242,82.44836459,81.13172494,81.94980768,-79312.92897,3014.339907,743.6445157
0.01225,0.501888981,0.016851926,-0.011186569,0.706607119,82.46873227,81.1301693,81.93900059,-79323.45602,3026.65391,746.6824081
0.0125,0.473697615,-0.028324464,0.006953137,0.686382608,82.48909995,81.11757792,81.93753016,-79310.54257,3015.704625,743.9811947
0.01275,0.523639903,-0.018068079,0.023294547,0.738582344,82.50946763,81.12078277,81.92616506,-79308.46983,3015.569946,743.9479689
0.013,0.50338145,0.009448683,-0.02016429,0.720379517,82.52983531,81.11841402,81.89750726,-79326.52222,3035.047038,748.753012
0.01325,0.507427453,0.003701274,0.028683225,0.695384927,82.55020299,81.1212184,81.8890254,-79313.72635,3024.381496,746.1217984
0.0135,0.525238548,-0.008234316,-0.006707095,0.753366973,82.57057067,81.11536472,81.87686397,-79310.99617,3023.24289,745.8409017
0.01375,0.547321441,-0.020852074,-3.49E-05,0.789210662,82.59093835,81.11242126,81.88613742,-79299.11013,3013.05701,743.3280221
0.014,0.558305324,0.053887789,0.027549568,0.73268849,82.61130603,81.11426138,81.88474224,-79313.99835,3029.340404,747.3451723
0.01425,0.541148998,0.008466727,-0.033967854,0.785054449,82.63167371,81.08323979,81.86447611,-79309.68228,3027.00059,746.7679349
0.0145,0.620783765,-0.013684353,-0.006282008,0.892085238,82.65204138,81.07393273,81.872182,-79310.95602,3029.983771,747.5038924
0.01475,0.515787285,0.026853557,0.017229951,0.698361095,82.67240906,81.09436783,81.85867038,-79286.06732,3006.875252,741.8029683
0.015,0.55720514,-0.008123431,-0.006637466,0.79844667,82.69277674,81.07746754,81.80380137,-79315.52398,3037.944724,749.4678777
0.01525,0.539665875,-0.012294841,-0.05973885,0.81620928,82.71314442,81.08396466,81.79728222,-79283.32299,3007.583803,741.9777693
0.0155,0.627710101,0.061904457,0.073919758,0.791810671,82.7335121,81.09840291,81.85205397,-79299.15731,3025.095584,746.2979655
0.01575,0.627319114,-0.012924321,-0.007487987,0.901621464,82.75387978,81.04924396,81.82743412,-79303.4967,3031.244396,747.8148916
0.016,0.636238497,-0.042399332,-0.033753419,0.953684026,82.77424746,81.02654618,81.82561584,-79280.58914,3010.477425,742.6916326
0.01625,0.649562565,0.007124028,0.034330018,0.889931753,82.79461514,81.04690288,81.83952608,-79282.90761,3014.628555,743.7157258
0.0165,0.645285402,0.006102416,-0.026412258,0.927787605,82.81498282,81.05494856,81.79170305,-79276.23966,3009.90536,742.5505028
0.01675,0.617459841,0.040642758,-0.035789768,0.874811367,82.8353505,81.05853731,81.75877308,-79280.04917,3015.880254,744.0245226
0.017,0.625809853,-0.035235142,-0.0338485,0.933879838,82.85571817,81.01988038,81.76168016,-79280.38672,3017.912672,744.5259249
0.01725,0.648135242,0.003310019,0.017588884,0.901993439,82.87608585,81.01707288,81.80091205,-79279.63748,3019.233621,744.8518059
0.0175,0.628452896,-0.007660484,0.013679795,0.884896381,82.89645353,81.00150501,81.80711908,-79256.37934,2998.199259,739.6625809
0.01775,0.622954454,-0.040392477,-0.01472415,0.92050096,82.91682121,80.95745272,81.77194954,-79282.40245,3025.987748,746.5180644
0.018,0.651061042,-0.023555203,-0.036605366,0.963411892,82.93718889,80.97650041,81.76699302,-79264.9152,3010.542155,742.7076014
0.01825,0.696391581,0.045793689,0.030862763,0.930821764,82.95755657,81.0151565,81.76878057,-79270.16047,3017.670428,744.4661628
0.0185,0.663267178,-0.032693429,-0.037726644,0.987815184,82.97792425,80.98186057,81.72023891,-79263.9339,3013.248041,743.3751497
0.01875,0.708395968,-0.024181707,0.003653997,1.016910085,82.99829193,80.97936964,81.71707285,-79282.59726,3033.929503,748.4773135
0.019,0.696490441,0.030340087,0.016472397,0.952036315,83.01865961,80.99366353,81.737074,-79265.37521,3018.486915,744.6675918
0.01925,0.706673149,0.011637402,0.022054491,0.975646407,83.03902729,80.96135805,81.73790354,-79268.01892,3023.040177,745.790892
0.0195,0.686757297,-0.006426669,-0.005817058,0.979879391,83.05939496,80.94267697,81.7091586,-79273.93536,3031.013313,747.7578827
0.01975,0.704312414,0.028068889,-0.024344725,0.995486674,83.07976264,80.95300205,81.69261229,-79272.18332,3031.08151,747.7747071
0.02,0.717422088,-0.012529995,-0.014933721,1.034012018,83.10013032,80.93019989,81.69941531,-79260.15525,3021.028376,745.2945761
0.02025,0.741239163,0.01387599,0.015552523,1.027463428,83.120498,80.92293445,81.72137186,-79260.48263,3023.073387,745.799085
0.0205,0.713390186,0.000489144,-0.002238722,1.01012874,83.14086568,80.90277843,81.71725128,-79255.02673,3019.253713,744.8567628
0.02075,0.730909911,-0.011777489,0.007436226,1.036999477,83.16123336,80.90013941,81.70192823,-79262.22946,3028.298259,747.0880728
0.021,0.733874256,0.028653807,0.006907623,1.013059358,83.18160104,80.93157401,81.66642053,-79253.36159,3021.588935,745.4328674
0.02125,0.742367613,-0.000214951,-0.015393458,1.061066017,83.20196872,80.94621166,81.63145112,-79244.51633,3014.843562,743.7687685
0.0215,0.772834299,0.022885208,-0.003581584,1.07978968,83.2223364,80.96885194,81.62478733,-79248.50996,3020.261885,745.1054809
0.02175,0.818185954,0.026113568,0.002324334,1.137354287,83.24270408,80.96052705,81.60887858,-79255.99903,3030.140947,747.5426682
0.022,0.751005227,-0.005343001,-0.046333341,1.099768904,83.26307175,80.92501109,81.59109707,-79248.79033,3025.180392,746.3188879
0.02225,0.805855588,0.033709691,0.035519465,1.090701748,83.28343943,80.90761538,81.64709591,-79252.10719,3030.610328,747.6584655
0.0225,0.775962279,-0.014141581,0.004960108,1.104116539,83.30380711,80.86403896,81.65038357,-79237.49831,3018.269926,744.6140603
0.02275,0.770597063,-0.008953686,0.041634788,1.068477684,83.32417479,80.85427165,81.65194324,-79242.48221,3025.618715,746.4270232
0.023,0.819080356,0.032909303,0.028476021,1.11496179,83.34454247,80.88403668,81.62383299,-79239.45488,3024.730084,746.2077958
0.02325,0.828811737,-0.007082309,-0.02384314,1.194160844,83.36491015,80.88608464,81.55198734,-79260.58371,3047.801328,751.8995243
0.0235,0.818629841,0.006681319,-0.009467746,1.159856373,83.38527783,80.91049004,81.55109563,-79234.24226,3023.777983,745.9729104
0.02375,0.843295575,0.04046573,0.031082917,1.142065322,83.40564551,80.91191045,81.58899675,-79224.13433,3015.839755,744.0145315
0.024,0.812460592,-0.007543426,0.022671461,1.13889701,83.42601319,80.86084072,81.57107081,-79234.46482,3028.09657,747.0383157
0.02425,0.777937151,-0.04673943,-0.038794859,1.16069193,83.44638087,80.83286264,81.54319762,-79214.6284,3011.000997,742.820799
0.0245,0.818947069,0.007531397,0.011585681,1.144659006,83.46674854,80.855341,81.56288418,-79218.78012,3016.932896,744.2842118
0.02475,0.889897363,0.034268022,0.038527278,1.207042141,83.48711622,80.85246674,81.56681844,-79233.87329,3034.000069,748.4947223
0.025,0.795517281,-0.061440046,-0.056393541,1.208368063,83.5074839,80.80885642,81.52967863,-79200.17921,3002.726299,740.7794121
0.02525,0.84304331,0.019024569,-0.003331324,1.181463792,83.52785158,80.83938912,81.53359441,-79216.54173,3020.925419,745.2691765
0.0255,0.892892006,0.042507408,0.006611808,1.228794144,83.54821926,80.86180077,81.52213956,-79214.78557,3021.360109,745.3764154
0.02575,0.870309838,0.015127789,-0.003015114,1.222440989,83.56858694,80.81996687,81.5077658,-79230.41228,3038.939786,749.7133618
0.026,0.867454065,-0.02908042,0.038596912,1.222848513,83.58895462,80.77944315,81.54457873,-79219.73042,3030.16083,747.5475732
0.02625,0.880841995,-0.025997462,0.013819626,1.25525734,83.6093223,80.77157921,81.54859206,-79193.65273,3006.600234,741.7351207
0.0265,0.871190281,0.007603423,0.022592761,1.210836361,83.62968998,80.78489788,81.49718291,-79218.37756,3033.223063,748.3030332
0.02675,0.916002866,0.037069817,0.009901049,1.262648782,83.65005766,80.82174223,81.46583637,-79227.50439,3044.049066,750.9738328
0.027,0.930662616,0.036655036,-0.00994743,1.298525549,83.67042533,80.82129656,81.4620229,-79210.90621,3029.728944,747.4410261
