strain,normal_stress_GPa,,,,Lx_angstrom,Ly_angstrom,Lz_angstrom,,,
0.025625,14.00728163,0.129311903,0.028311208,19.69821969,64.24831143,62.65835998,62.43175569,-137105.5911,2235.523422,1103.052607
0.02625,14.37531576,-0.329627401,-0.174814299,20.68732958,64.28746335,62.65065991,62.4111003,-137068.6549,2216.016567,1093.427529
0.026875,14.7881599,0.122594154,0.049568238,20.79207146,64.32661528,62.67997,62.38458149,-137061.3995,2226.189429,1098.447026
0.0275,15.03495093,0.003968825,0.060597741,21.21708942,64.36576721,62.65947105,62.37121228,-137055.6738,2238.182881,1104.364838
0.028125,15.30132003,-0.212582517,-0.014349302,21.80115125,64.40491913,62.64296127,62.36051208,-137023.8839,2224.507822,1097.617287
0.02875,15.61655351,0.107680063,0.004725626,22.00602019,64.44407106,62.67293305,62.3279148,-137004.2366,2223.493831,1097.116963
0.029375,16.05622072,0.007261132,0.04947437,22.666866,64.48322299,62.66817051,62.31809691,-136974.4919,2212.592509,1091.73803
0.03,16.21988857,-0.191136175,-0.026579193,23.09321387,64.52237491,62.64787924,62.30121106,-136953.9856,2211.105859,1091.004487
0.030625,16.49367029,0.209848875,0.016459454,23.16675886,64.56152684,62.66784103,62.26784701,-136961.7792,2238.161485,1104.354281
0.03125,16.90618453,0.172345854,0.13691697,23.69031336,64.60067877,62.66749067,62.27048597,-136915.2861,2211.495328,1091.196659
0.031875,17.22321675,-0.087478629,0.011609491,24.41125595,64.63983069,62.6585433,62.24070289,-136909.6624,2225.804547,1098.257117
0.0325,17.4839461,0.122892444,-0.0491891,24.67481765,64.67898262,62.67871323,62.20323212,-136888.4246,2225.158062,1097.938128
0.033125,17.81760527,-0.032833523,0.1297931,25.13012758,64.71813455,62.66464022,62.21807152,-136850.2065,2207.777674,1089.362293
0.03375,18.02628651,0.069372912,-0.045459288,25.47649758,64.75728647,62.67136591,62.17329758,-136855.156,2233.471927,1102.040358
0.034375,18.28721509,-0.051874759,-0.076867752,25.95308036,64.7964384,62.66856293,62.15042582,-136815.331,2214.987506,1092.91977
0.035,18.62745963,0.141450464,0.062964528,26.19883916,64.83559032,62.67646104,62.15506221,-136801.2249,2222.599771,1096.675816
0.035625,19.08194088,-0.1282566,-0.011678138,27.08526471,64.87474225,62.67381318,62.11218106,-136778.6895,2222.03241,1096.395868
